"but not @FoodCat:FoodCat","but not @FoodCat:FoodCat"
"but not @category:category","but not @category:category"
"but not @multi:multi","but not @multi:multi"
"but not @outer:outer","but not @outer:outer"
"don't want @FoodCat:FoodCat","don't want @FoodCat:FoodCat"
"don't want @category:category","don't want @category:category"
"don't want @multi:multi","don't want @multi:multi"
"don't want @outer:outer","don't want @outer:outer"
"dont want @FoodCat:FoodCat","dont want @FoodCat:FoodCat"
"dont want @category:category","dont want @category:category"
"dont want @multi:multi","dont want @multi:multi"
"dont want @outer:outer","dont want @outer:outer"
"dont want to eat @FoodCat:FoodCat","dont want to eat @FoodCat:FoodCat"
"dont want to eat @category:category","dont want to eat @category:category"
"dont want to eat @multi:multi","dont want to eat @multi:multi"
"dont want to eat @outer:outer","dont want to eat @outer:outer"
"dont want to have @FoodCat:FoodCat","dont want to have @FoodCat:FoodCat"
"dont want to have @category:category","dont want to have @category:category"
"dont want to have @multi:multi","dont want to have @multi:multi"
"dont want to have @outer:outer","dont want to have @outer:outer"
"no @FoodCat:FoodCat","no @FoodCat:FoodCat"
"no @category:category","no @category:category"
"no @multi:multi","no @multi:multi"
"no @outer:outer","no @outer:outer"
"not @FoodCat:FoodCat","not @FoodCat:FoodCat"
"not @category:category","not @category:category"
"not @multi:multi","not @multi:multi"
"not @outer:outer","not @outer:outer"
