"@FoodCat:FoodCat","@FoodCat:FoodCat"
"@FoodCat:FoodCat for @number:number","@FoodCat:FoodCat for @number:number"
"@category:category","@category:category"
"@category:category for @number:number","@category:category for @number:number"
"@customize:customize","@customize:customize"
"@multi:multi","@multi:multi"
"@multi:multi for @number:number","@multi:multi for @number:number"
"@number:number @FoodCat:FoodCat","@number:number @FoodCat:FoodCat"
"@number:number @category:category","@number:number @category:category"
"@number:number @multi:multi","@number:number @multi:multi"
"@number:number @outer:outer","@number:number @outer:outer"
"@number:number bottles of @FoodCat:FoodCat","@number:number bottles of @FoodCat:FoodCat"
"@number:number bottles of @category:category","@number:number bottles of @category:category"
"@number:number bottles of @multi:multi","@number:number bottles of @multi:multi"
"@number:number bottles of @outer:outer","@number:number bottles of @outer:outer"
"@number:number cups of @FoodCat:FoodCat","@number:number cups of @FoodCat:FoodCat"
"@number:number cups of @category:category","@number:number cups of @category:category"
"@number:number cups of @multi:multi","@number:number cups of @multi:multi"
"@number:number cups of @outer:outer","@number:number cups of @outer:outer"
"@number:number from @FoodCat:FoodCat","@number:number from @FoodCat:FoodCat"
"@number:number from @category:category","@number:number from @category:category"
"@number:number from @multi:multi","@number:number from @multi:multi"
"@number:number from @outer:outer","@number:number from @outer:outer"
"@number:number ml of @category:category","@number:number ml of @category:category"
"@number:number ml of @multi:multi","@number:number ml of @multi:multi"
"@number:number ml of @outer:outer","@number:number ml of @outer:outer"
"@number:number more @category:category","@number:number more @category:category"
"@number:number more @multi:multi","@number:number more @multi:multi"
"@number:number more @outer:outer","@number:number more @outer:outer"
"@number:number ounce of @category:category","@number:number ounce of @category:category"
"@number:number ounce of @multi:multi","@number:number ounce of @multi:multi"
"@number:number ounce of @outer:outer","@number:number ounce of @outer:outer"
"@number:number plates of @FoodCat:FoodCat","@number:number plates of @FoodCat:FoodCat"
"@number:number plates of @category:category","@number:number plates of @category:category"
"@number:number plates of @multi:multi","@number:number plates of @multi:multi"
"@number:number plates of @outer:outer","@number:number plates of @outer:outer"
"@number:number with @FoodCat:FoodCat","@number:number with @FoodCat:FoodCat"
"@number:number with @category:category","@number:number with @category:category"
"@number:number with @multi:multi","@number:number with @multi:multi"
"@number:number with @outer:outer","@number:number with @outer:outer"
"@outer:outer","@outer:outer"
"@outer:outer for @number:number","@outer:outer for @number:number"
"a @category:category","a @category:category"
"a @multi:multi","a @multi:multi"
"a @outer:outer","a @outer:outer"
"an @category:category","an @category:category"
"an @multi:multi","an @multi:multi"
"an @outer:outer","an @outer:outer"
